N,D,C,lr,gbsz,loss
47557632,6000000000.0,1.712074752e+18,0.0005,17.92046997948599,2.93416215684458
47557632,6000000000.0,1.712074752e+18,0.001,29.895321279242353,2.926553324941385
47557632,6000000000.0,1.712074752e+18,0.002,49.87203100209965,2.9254142938992844
47557632,6000000000.0,1.712074752e+18,0.004,83.19761654481276,2.9307450637182786
47557632,12000000000.0,3.424149504e+18,0.0005,25.196276015960596,2.8797902485473186
47557632,12000000000.0,3.424149504e+18,0.001,39.652102781500794,2.872814061830054
47557632,12000000000.0,3.424149504e+18,0.002,62.40165229174086,2.8720871906550807
47557632,12000000000.0,3.424149504e+18,0.004,98.20327134216978,2.8776096350223996
47557632,20000000000.0,5.70691584e+18,0.0005,31.581892218588894,2.8470090448699543
47557632,20000000000.0,5.70691584e+18,0.001,48.83725015783035,2.8398938567091894
47557632,20000000000.0,5.70691584e+18,0.002,75.52039587972055,2.839145713973988
47557632,20000000000.0,5.70691584e+18,0.004,116.7823777014044,2.844764616664351
47557632,30000000000.0,8.56037376e+18,0.0005,38.451805179667694,2.8244396208051015
47557632,30000000000.0,8.56037376e+18,0.001,58.32816049093144,2.816280172749346
47557632,30000000000.0,8.56037376e+18,0.002,88.47892291035625,2.815491200931301
47557632,30000000000.0,8.56037376e+18,0.004,134.21509839306364,2.822072705350966
47557632,50000000000.0,1.42672896e+19,0.0005,44.97927181608029,2.803995806366274
47557632,50000000000.0,1.42672896e+19,0.001,69.05852049606582,2.7981515065006417
47557632,50000000000.0,1.42672896e+19,0.002,106.02837841853587,2.796095319725713
47557632,50000000000.0,1.42672896e+19,0.004,162.78971731959834,2.7978272460414884
47557632,80000000000.0,2.282766336e+19,0.0005,51.50106212775992,2.7877625921498224
47557632,80000000000.0,2.282766336e+19,0.001,79.93760180480864,2.7825878395695134
47557632,80000000000.0,2.282766336e+19,0.002,124.07550287899429,2.780420951435322
47557632,80000000000.0,2.282766336e+19,0.004,192.58434162518586,2.7812619277472503
47557632,120000000000.0,3.424149504e+19,0.0005,54.44743115131261,2.7744514389734025
47557632,120000000000.0,3.424149504e+19,0.001,87.63947665624177,2.770376626163522
47557632,120000000000.0,3.424149504e+19,0.002,141.06593655878632,2.76862503700509
47557632,120000000000.0,3.424149504e+19,0.004,227.062041176512,2.769196671498106
47557632,200000000000.0,5.70691584e+19,0.0005,61.194170752586224,2.760683824295638
47557632,200000000000.0,5.70691584e+19,0.001,102.24742501349108,2.7572278972874478
47557632,200000000000.0,5.70691584e+19,0.002,170.84202291355743,2.7557761289070486
47557632,200000000000.0,5.70691584e+19,0.004,285.4545900725167,2.7563285191544398
47557632,300000000000.0,8.56037376e+19,0.0005,68.34734162713104,2.7521266404487115
47557632,300000000000.0,8.56037376e+19,0.001,113.45867272546825,2.7487480485546287
47557632,300000000000.0,8.56037376e+19,0.002,188.34485892447537,2.746983880976248
47557632,300000000000.0,8.56037376e+19,0.004,312.6582131726073,2.746834137713571
124455168,6000000000.0,4.480386048e+18,0.00025,14.569216192712638,2.7214142405106596
124455168,6000000000.0,4.480386048e+18,0.0005,23.364389682573115,2.713557074689158
124455168,6000000000.0,4.480386048e+18,0.001,37.46905104697255,2.7128468871448645
124455168,6000000000.0,4.480386048e+18,0.002,60.08844251591084,2.7192836778777782
124455168,6000000000.0,4.480386048e+18,0.004,96.36275334172507,2.7328674468879
124455168,12000000000.0,8.960772096e+18,0.00025,20.33548748450682,2.6548905618139687
124455168,12000000000.0,8.960772096e+18,0.0005,33.18504350716365,2.6480480049818125
124455168,12000000000.0,8.960772096e+18,0.001,54.15395688996204,2.647082168272103
124455168,12000000000.0,8.960772096e+18,0.002,88.37267446121606,2.651993051684841
124455168,12000000000.0,8.960772096e+18,0.004,144.21346176599855,2.6627806552200246
124455168,20000000000.0,1.493462016e+19,0.0005,51.207321666015105,2.6060395304610733
124455168,20000000000.0,1.493462016e+19,0.001,75.70508845274891,2.602875121655287
124455168,20000000000.0,1.493462016e+19,0.002,111.9226749451771,2.6064267515317336
124455168,20000000000.0,1.493462016e+19,0.004,165.46688502586275,2.6166944200904143
124455168,30000000000.0,2.240193024e+19,0.0005,68.66549816651938,2.573153532280418
124455168,30000000000.0,2.240193024e+19,0.001,93.5443092549698,2.5692104818812016
124455168,30000000000.0,2.240193024e+19,0.002,127.43718501493527,2.5725824715682646
124455168,30000000000.0,2.240193024e+19,0.004,173.61009187919194,2.583269501341604
124455168,50000000000.0,3.73365504e+19,0.0005,89.14282113263458,2.5456575457470594
124455168,50000000000.0,3.73365504e+19,0.001,123.71321532593801,2.5405540959560042
124455168,50000000000.0,3.73365504e+19,0.002,171.69032179842995,2.5414068304812867
124455168,50000000000.0,3.73365504e+19,0.004,238.27338511561658,2.5482157493229063
124455168,80000000000.0,5.973848064e+19,0.0005,93.6177337742752,2.5199211839640845
124455168,80000000000.0,5.973848064e+19,0.001,137.30601382064717,2.515405055125995
124455168,80000000000.0,5.973848064e+19,0.002,201.38215988834654,2.5163873994532313
124455168,80000000000.0,5.973848064e+19,0.004,295.3605103871804,2.522868216945791
124455168,120000000000.0,8.960772096e+19,0.0005,95.39310986384413,2.5006037818127376
124455168,120000000000.0,8.960772096e+19,0.001,150.68281689912777,2.4971317948742757
124455168,120000000000.0,8.960772096e+19,0.002,238.01835731179798,2.498133244253777
124455168,120000000000.0,8.960772096e+19,0.004,375.97344928408165,2.5036081299512425
124455168,200000000000.0,1.493462016e+20,0.0005,132.11789005085745,2.484147493623636
124455168,200000000000.0,1.493462016e+20,0.001,195.5129977343651,2.4796454913108414
124455168,200000000000.0,1.493462016e+20,0.002,289.3274504184361,2.4787193945778636
124455168,200000000000.0,1.493462016e+20,0.004,428.15758816897767,2.4813692034247024
124455168,300000000000.0,2.240193024e+20,0.0005,140.73884103405607,2.469802290775505
124455168,300000000000.0,2.240193024e+20,0.001,216.3973935295389,2.4661433027852784
124455168,300000000000.0,2.240193024e+20,0.002,332.7285600927091,2.465624215495616
124455168,300000000000.0,2.240193024e+20,0.004,511.59717266305904,2.468245028906517
301880320,6000000000.0,1.086769152e+19,0.00025,32.475535816959265,2.585260873956551
301880320,6000000000.0,1.086769152e+19,0.0005,45.96998065431726,2.5746382564090466
301880320,6000000000.0,1.086769152e+19,0.001,65.07172455195445,2.5711927976621936
301880320,6000000000.0,1.086769152e+19,0.002,92.11074870808667,2.574924497715992
301880320,6000000000.0,1.086769152e+19,0.004,130.38520318898597,2.5858333565704417
301880320,12000000000.0,2.173538304e+19,0.00025,47.75137660542167,2.5058025037760387
301880320,12000000000.0,2.173538304e+19,0.0005,67.4915620808278,2.498502708921658
301880320,12000000000.0,2.173538304e+19,0.001,95.39224365718178,2.4965462418845217
301880320,12000000000.0,2.173538304e+19,0.002,134.82693049915443,2.4999331026646305
301880320,12000000000.0,2.173538304e+19,0.004,190.56372395592808,2.508663291261983
301880320,20000000000.0,3.62256384e+19,0.00025,64.67336030107076,2.4556714163472364
301880320,20000000000.0,3.62256384e+19,0.0005,87.77632000494046,2.4494599444496785
301880320,20000000000.0,3.62256384e+19,0.001,119.13224112281274,2.4481772417390886
301880320,20000000000.0,3.62256384e+19,0.002,161.68929016556157,2.451823308215466
301880320,20000000000.0,3.62256384e+19,0.004,219.44879327244465,2.460398143878812
301880320,30000000000.0,5.43384576e+19,0.00025,75.96728776942724,2.4210966633553053
301880320,30000000000.0,5.43384576e+19,0.0005,103.06098002851604,2.4146457780995094
301880320,30000000000.0,5.43384576e+19,0.001,139.81762303633005,2.413061196779096
301880320,30000000000.0,5.43384576e+19,0.002,189.6835029719324,2.416342919394064
301880320,30000000000.0,5.43384576e+19,0.004,257.3340221236209,2.424490945944415
301880320,50000000000.0,9.0564096e+19,0.00025,89.31342774260621,2.383260527963722
301880320,50000000000.0,9.0564096e+19,0.0005,124.76517536500573,2.3773201327987836
301880320,50000000000.0,9.0564096e+19,0.001,174.28901092813862,2.3756143002837113
301880320,50000000000.0,9.0564096e+19,0.002,243.47065790947403,2.3781430304185065
301880320,50000000000.0,9.0564096e+19,0.004,340.11301657631844,2.384906323203168
301880320,80000000000.0,1.449025536e+20,0.0005,139.77416833616167,2.344747611033605
301880320,80000000000.0,1.449025536e+20,0.001,204.37524016491176,2.3443036491351483
301880320,80000000000.0,1.449025536e+20,0.002,298.8337493950163,2.3465055755083997
301880320,80000000000.0,1.449025536e+20,0.004,436.94925914423493,2.35135339015336
301880320,120000000000.0,2.173538304e+20,0.0005,169.3810962954299,2.3231877142915924
301880320,120000000000.0,2.173538304e+20,0.001,239.6201971845119,2.3209672526472733
301880320,120000000000.0,2.173538304e+20,0.002,338.9861097521635,2.321794159173866
301880320,120000000000.0,2.173538304e+20,0.004,479.5571656942672,2.3256684338713707
301880320,200000000000.0,3.62256384e+20,0.0005,174.2011302615509,2.2943909047246898
301880320,200000000000.0,3.62256384e+20,0.001,270.9733923264004,2.2931061524357883
301880320,200000000000.0,3.62256384e+20,0.002,421.5046092906085,2.2944961724953017
301880320,200000000000.0,3.62256384e+20,0.004,655.6589712661565,2.298560964903231
301880320,300000000000.0,5.43384576e+20,0.0005,183.2967377685096,2.2795262556620903
301880320,300000000000.0,5.43384576e+20,0.001,298.5447981906423,2.277234451970919
301880320,300000000000.0,5.43384576e+20,0.002,486.255225334423,2.2777359261448704
301880320,300000000000.0,5.43384576e+20,0.004,791.9888257910425,2.281030678183946
588544000,6000000000.0,2.1187584e+19,0.00025,31.69174048525409,2.493828621227713
588544000,6000000000.0,2.1187584e+19,0.0005,46.65776642067371,2.4816222382509765
588544000,6000000000.0,2.1187584e+19,0.001,68.69130991335302,2.478292680176886
588544000,6000000000.0,2.1187584e+19,0.002,101.1299172589965,2.4838399470054426
588544000,6000000000.0,2.1187584e+19,0.004,148.8872490233785,2.498264038736645
588544000,12000000000.0,4.2375168e+19,0.00025,51.538558229630794,2.4080005563127043
588544000,12000000000.0,4.2375168e+19,0.0005,73.00637764321706,2.3973951044197737
588544000,12000000000.0,4.2375168e+19,0.001,103.41638104885361,2.3954111213676224
588544000,12000000000.0,4.2375168e+19,0.002,146.49333680829938,2.4020486071562512
588544000,12000000000.0,4.2375168e+19,0.004,207.51352456524296,2.41730756178566
588544000,20000000000.0,7.062528e+19,0.00025,77.78809281776986,2.3569271148784394
588544000,20000000000.0,7.062528e+19,0.0005,102.25801518255761,2.3455060167009245
588544000,20000000000.0,7.062528e+19,0.001,134.42547940560203,2.343106471822371
588544000,20000000000.0,7.062528e+19,0.002,176.71191330250085,2.349728480242779
588544000,20000000000.0,7.062528e+19,0.004,232.30045703470424,2.3653720419621482
588544000,30000000000.0,1.0593792e+20,0.00025,92.59847335212741,2.318565829398379
588544000,30000000000.0,1.0593792e+20,0.0005,121.33882391096802,2.307277617569797
588544000,30000000000.0,1.0593792e+20,0.001,158.9994916234614,2.305372176812629
588544000,30000000000.0,1.0593792e+20,0.002,208.34912950094966,2.3128495071268755
588544000,30000000000.0,1.0593792e+20,0.004,273.015714204951,2.3297096085125366
588544000,50000000000.0,1.765632e+20,0.0005,138.87015923762243,2.2669386318135025
588544000,50000000000.0,1.765632e+20,0.001,191.37239833274091,2.2650736510489966
