N,D,C,lr,gbsz,loss
47557632,6000000000.0,1.712074752e+18,0.0005,18.690470834148442,2.9355239941428835
47557632,6000000000.0,1.712074752e+18,0.001,26.455437654497498,2.927413803439415
47557632,6000000000.0,1.712074752e+18,0.002,44.91831633188356,2.9256346116847385
47557632,6000000000.0,1.712074752e+18,0.004,79.87979779249547,2.9284774969614618
47557632,12000000000.0,3.424149504e+18,0.0005,25.44334401873934,2.880286849525013
47557632,12000000000.0,3.424149504e+18,0.001,39.173495201880414,2.8737877646882004
47557632,12000000000.0,3.424149504e+18,0.002,54.067608058894876,2.87502290557911
47557632,12000000000.0,3.424149504e+18,0.004,93.84196192080968,2.873285696983131
47557632,20000000000.0,5.70691584e+18,0.0005,32.910386237901555,2.8472119289514466
47557632,20000000000.0,5.70691584e+18,0.001,47.923423266562075,2.8410614784829256
47557632,20000000000.0,5.70691584e+18,0.002,66.19461634247024,2.84183637328559
47557632,20000000000.0,5.70691584e+18,0.004,116.9336626934619,2.84064491252735
47557632,30000000000.0,8.56037376e+18,0.0005,41.862232795658976,2.8235588311713298
47557632,30000000000.0,8.56037376e+18,0.001,56.57114784488432,2.8179451235049946
47557632,30000000000.0,8.56037376e+18,0.002,79.4792295572649,2.8193451406246677
47557632,30000000000.0,8.56037376e+18,0.004,135.109897232632,2.817954634315706
47557632,50000000000.0,1.42672896e+19,0.0005,49.22778495834101,2.804615961063304
47557632,50000000000.0,1.42672896e+19,0.001,64.78824028906492,2.7981119689351455
47557632,50000000000.0,1.42672896e+19,0.002,95.6738148222219,2.7975104841183094
47557632,50000000000.0,1.42672896e+19,0.004,168.28718986563035,2.79593103090912
47557632,80000000000.0,2.282766336e+19,0.0005,57.41166651788396,2.7895985402318364
47557632,80000000000.0,2.282766336e+19,0.001,70.43559203733001,2.7812070829646363
47557632,80000000000.0,2.282766336e+19,0.002,105.72949881330993,2.780322746758867
47557632,80000000000.0,2.282766336e+19,0.004,209.39251626651065,2.7800858185775454
47557632,120000000000.0,3.424149504e+19,0.0005,54.46803515819425,2.775645204702493
47557632,120000000000.0,3.424149504e+19,0.001,75.71370728157416,2.7689303221708106
47557632,120000000000.0,3.424149504e+19,0.002,124.7740658556906,2.7681689666669334
47557632,120000000000.0,3.424149504e+19,0.004,248.3797705822712,2.767898049086413
47557632,200000000000.0,5.70691584e+19,0.0005,57.06138889233177,2.7616341203279537
47557632,200000000000.0,5.70691584e+19,0.001,88.42555990594057,2.756059880394517
47557632,200000000000.0,5.70691584e+19,0.002,153.53776150313362,2.755052890202769
47557632,200000000000.0,5.70691584e+19,0.004,309.13564522190387,2.755019016365572
47557632,300000000000.0,8.56037376e+19,0.0005,73.38551743259187,2.7540241094521973
47557632,300000000000.0,8.56037376e+19,0.001,94.17364309952663,2.746932340629926
47557632,300000000000.0,8.56037376e+19,0.002,179.23845317957245,2.746175685595962
47557632,300000000000.0,8.56037376e+19,0.004,357.66111610483244,2.7458573471259022
124455168,6000000000.0,4.480386048e+18,0.00025,,
124455168,6000000000.0,4.480386048e+18,0.0005,25.34772994621542,2.7135517391007866
124455168,6000000000.0,4.480386048e+18,0.001,35.86091755995152,2.714334476232009
124455168,6000000000.0,4.480386048e+18,0.002,57.45637238850504,2.717150178248795
124455168,6000000000.0,4.480386048e+18,0.004,,
124455168,12000000000.0,8.960772096e+18,0.00025,,
124455168,12000000000.0,8.960772096e+18,0.0005,33.188358788653,2.6479457879654524
124455168,12000000000.0,8.960772096e+18,0.001,52.22468979091268,2.64849543182176
124455168,12000000000.0,8.960772096e+18,0.002,86.44106007767648,2.6493084736448624
124455168,12000000000.0,8.960772096e+18,0.004,148.38321622198256,2.660615657036536
124455168,20000000000.0,1.493462016e+19,0.0005,50.97037555625778,2.606273305345578
124455168,20000000000.0,1.493462016e+19,0.001,69.78570319559256,2.60508897844505
124455168,20000000000.0,1.493462016e+19,0.002,106.98846414235922,2.604073416308604
124455168,20000000000.0,1.493462016e+19,0.004,179.14425251180538,2.6124875922820356
124455168,30000000000.0,2.240193024e+19,0.0005,64.12626893702743,2.5750007116105653
124455168,30000000000.0,2.240193024e+19,0.001,89.12174395531078,2.568911134818538
124455168,30000000000.0,2.240193024e+19,0.002,125.64909363967945,2.571825136093309
124455168,30000000000.0,2.240193024e+19,0.004,201.25310538223948,2.577158950508135
124455168,50000000000.0,3.73365504e+19,0.0005,78.60700722305153,2.547116926759923
124455168,50000000000.0,3.73365504e+19,0.001,113.35446569394374,2.540069055933692
124455168,50000000000.0,3.73365504e+19,0.002,154.15432970896404,2.5400764720062434
124455168,50000000000.0,3.73365504e+19,0.004,254.80728822937255,2.5446509499505874
124455168,80000000000.0,5.973848064e+19,0.0005,76.4376222193519,2.521588334593883
124455168,80000000000.0,5.973848064e+19,0.001,115.51572208925766,2.515355384858891
124455168,80000000000.0,5.973848064e+19,0.002,181.9146758111525,2.514738479191041
124455168,80000000000.0,5.973848064e+19,0.004,303.2283266656839,2.5183097955413145
124455168,120000000000.0,8.960772096e+19,0.0005,78.31543616363015,2.50251902572744
124455168,120000000000.0,8.960772096e+19,0.001,125.94538135008517,2.4973010406611604
124455168,120000000000.0,8.960772096e+19,0.002,211.21501394931192,2.4964377114070038
124455168,120000000000.0,8.960772096e+19,0.004,371.21592931062685,2.4998188832318213
124455168,200000000000.0,1.493462016e+20,0.0005,101.66376284455697,2.4836475351657175
124455168,200000000000.0,1.493462016e+20,0.001,242.45365095572103,2.4820264098422204
124455168,200000000000.0,1.493462016e+20,0.002,257.1207039509656,2.476749501802939
124455168,200000000000.0,1.493462016e+20,0.004,447.2443901708582,2.4800428857713155
124455168,300000000000.0,2.240193024e+20,0.0005,111.31680518130187,2.4699724425275678
124455168,300000000000.0,2.240193024e+20,0.001,184.2996730691035,2.4659381141140977
124455168,300000000000.0,2.240193024e+20,0.002,315.9441835990954,2.4644387175916798
124455168,300000000000.0,2.240193024e+20,0.004,499.1037520021615,2.466543611119948
301880320,6000000000.0,1.086769152e+19,0.00025,31.56848523455991,2.5843577996864475
301880320,6000000000.0,1.086769152e+19,0.0005,52.3246541434124,2.5712627213786226
301880320,6000000000.0,1.086769152e+19,0.001,77.28416994900752,2.5757035843857365
301880320,6000000000.0,1.086769152e+19,0.002,,
301880320,6000000000.0,1.086769152e+19,0.004,,
301880320,12000000000.0,2.173538304e+19,0.00025,44.01452403277008,2.504838039718792
301880320,12000000000.0,2.173538304e+19,0.0005,72.72356081336939,2.4938154645965174
301880320,12000000000.0,2.173538304e+19,0.001,106.71691646606504,2.497686713104813
301880320,12000000000.0,2.173538304e+19,0.002,138.5093665008004,2.5049808267548372
301880320,12000000000.0,2.173538304e+19,0.004,151.8579775131768,2.5047210292736217
301880320,20000000000.0,3.62256384e+19,0.00025,56.592414206883255,2.4563462515453076
301880320,20000000000.0,3.62256384e+19,0.0005,90.24503302524913,2.4460902151375628
301880320,20000000000.0,3.62256384e+19,0.001,127.86739888910787,2.449528327829066
301880320,20000000000.0,3.62256384e+19,0.002,163.81026662979988,2.4548131725173006
301880320,20000000000.0,3.62256384e+19,0.004,200.4318761863445,2.456059784515004
301880320,30000000000.0,5.43384576e+19,0.00025,65.35802480452764,2.422345411385776
301880320,30000000000.0,5.43384576e+19,0.0005,110.7302855825407,2.411793701947954
301880320,30000000000.0,5.43384576e+19,0.001,141.63800113792755,2.414685190140066
301880320,30000000000.0,5.43384576e+19,0.002,193.9001312277351,2.4190837030339436
301880320,30000000000.0,5.43384576e+19,0.004,247.4967232563183,2.421523123614528
301880320,50000000000.0,9.0564096e+19,0.00025,,
301880320,50000000000.0,9.0564096e+19,0.0005,111.22757966039515,2.375956077011747
301880320,50000000000.0,9.0564096e+19,0.001,172.45580231408263,2.3772238431095793
301880320,50000000000.0,9.0564096e+19,0.002,240.7611171799984,2.379122672864746
301880320,50000000000.0,9.0564096e+19,0.004,322.34456100413036,2.3813484094860518
301880320,80000000000.0,1.449025536e+20,0.0005,118.71740551322806,2.3463337403253766
301880320,80000000000.0,1.449025536e+20,0.001,197.2737683071057,2.346093765597549
301880320,80000000000.0,1.449025536e+20,0.002,285.6160719803293,2.3452083963488777
301880320,80000000000.0,1.449025536e+20,0.004,397.8435465030587,2.3486506297226644
301880320,120000000000.0,2.173538304e+20,0.0005,118.59894710346977,2.3226643789140904
