N,D,C,lr,gbsz,loss
47557632,6000000000.0,1.712074752e+18,0.001597763074748668,42.253112219763096,2.9250748191157676
47557632,12000000000.0,3.424149504e+18,0.0015329515769631882,52.43683705789745,2.871627189834041
47557632,20000000000.0,5.70691584e+18,0.0015342167739416353,63.922309438352066,2.838679950402443
47557632,30000000000.0,8.56037376e+18,0.0015231361319110505,75.1155865015522,2.8149221496098757
47557632,50000000000.0,1.42672896e+19,0.0020602218989753123,107.99201317253777,2.7960918501604293
47557632,80000000000.0,2.282766336e+19,0.002330125256443935,136.70032159180582,2.78034789120472
47557632,120000000000.0,3.424149504e+19,0.0023849313067558615,159.19111786087984,2.768550125307954
47557632,200000000000.0,5.70691584e+19,0.0023365468760582152,191.69820843896446,2.7557256787446383
47557632,300000000000.0,8.56037376e+19,0.0030162444366088285,254.34798930819713,2.7467002617108633
124455168,6000000000.0,4.480386048e+18,0.0007575268471233682,31.009584546032045,2.7122733233461522
124455168,12000000000.0,8.960772096e+18,0.0007924268220168446,45.94533817911061,2.6467511291643024
124455168,20000000000.0,1.493462016e+19,0.0009802162131617538,74.85662867447617,2.602872330944783
124455168,30000000000.0,2.240193024e+19,0.0010274251735821053,94.68010278394175,2.569204909281239
124455168,50000000000.0,3.73365504e+19,0.0012806107973397797,139.06053772425796,2.5401748980645555
124455168,80000000000.0,5.973848064e+19,0.0012494925885538455,155.28835609749663,2.5151211664765087
124455168,120000000000.0,8.960772096e+19,0.0012109457251677498,170.95793836115405,2.496961244893333
124455168,200000000000.0,1.493462016e+20,0.0016922965886802578,263.24799665373723,2.4786155333535826
124455168,300000000000.0,2.240193024e+20,0.0015859196194618736,288.1104794569451,2.465448363887955
301880320,6000000000.0,1.086769152e+19,0.0009862729494115147,64.62236402456013,2.5711913706684473
301880320,12000000000.0,2.173538304e+19,0.00091139692888282,91.07527588662266,2.496498377839634
301880320,20000000000.0,3.62256384e+19,0.0008468909269352346,110.71991755157386,2.448035586488113
301880320,30000000000.0,5.43384576e+19,0.0008861502085809731,132.5753024370442,2.4129872112499364
301880320,50000000000.0,9.0564096e+19,0.0009348686493995217,168.71900414783678,2.375594311191905
301880320,80000000000.0,1.449025536e+20,0.0007943204981712287,180.14146707373172,2.3441576471701513
301880320,120000000000.0,2.173538304e+20,0.0011717371380012686,259.40080898988657,2.3208875939156552
301880320,200000000000.0,3.62256384e+20,0.000986452922529195,268.6277899842536,2.293105634573794
301880320,300000000000.0,5.43384576e+20,0.0012487382252291824,349.06221094408767,2.2770910147649284
588544000,6000000000.0,2.1187584e+19,0.0009170576574547046,65.45136903159359,2.4782234235427074
588544000,12000000000.0,4.2375168e+19,0.0008293892391977123,94.14038401758177,2.395097150974086
588544000,20000000000.0,7.062528e+19,0.0008502618588515406,126.09085908801971,2.342859435672228
588544000,30000000000.0,1.0593792e+20,0.0008139875757476694,146.73657362664815,2.304958573611081
588544000,50000000000.0,1.765632e+20,0.0008288532286795579,175.45400709849977,2.2647752602443294
588544000,80000000000.0,2.8250112e+20,0.000851479880017863,207.02549047608824,2.2310307592973597
588544000,120000000000.0,4.2375168e+20,0.0009009796329036297,242.76086862459496,2.204831994936847
588544000,200000000000.0,7.062528e+20,0.0010500746259790494,313.09624932374766,2.178296498084585
588544000,300000000000.0,1.0593792e+21,0.0011103516333856238,368.71789954702143,2.1597369307945185
983138304,6000000000.0,3.5392978944e+19,0.0005031817662805616,51.16732496935729,2.4273650656043273
983138304,12000000000.0,7.0785957888e+19,0.0005062759988692815,80.71770605129537,2.3378576215121747
983138304,20000000000.0,1.1797659648e+20,0.0004607902274197672,103.04439503051155,2.2826200212025567
983138304,30000000000.0,1.7696489472e+20,0.0005232723068877899,136.06064428843973,2.241758742778659
983138304,50000000000.0,2.949414912e+20,0.0003809762433671497,148.06410906194503,2.1998863148116925
983138304,80000000000.0,4.7190638592e+20,0.00032680069799652676,159.91584611834517,2.1641816346050966
983138304,120000000000.0,7.0785957888e+20,0.00036483774205604255,193.26449047601665,2.1354089515691976
983138304,200000000000.0,1.1797659648e+21,0.00039620358467171634,231.33725275042357,2.103729498003387
983138304,300000000000.0,1.7696489472e+21,0.0005064184970083706,310.16463836264523,2.081923865261764
1713504256,30000000000.0,3.0843076608e+20,0.0004963650354182102,164.41817848659576,2.1813696414191823
1713504256,50000000000.0,5.140512768e+20,0.0004537917480486663,185.51556186173121,2.1328829789690356
1713504256,80000000000.0,8.2248204288e+20,0.0002743235794505662,193.51607719488734,2.0942127796051153
1713504256,120000000000.0,1.23372306432e+21,2.5417731586657554e-05,136.96514105246527,2.0630145681864813
1713504256,200000000000.0,2.0562051072e+21,0.011832043870319248,272.97037091361034,2.0599826823945167
1713504256,300000000000.0,3.0843076608e+21,0.00045094195820805756,391.72785992182537,2.0243323144561907
