job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_50M_xm01_lr0.002_gbsz32_beta20.99_6B,47557632,50000000.0,6000000000.0,1.712074752e+18,0.002,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.9271794,0.0022124853355446
dense_50M_xm01_lr0.002_gbsz64_beta20.99_12B,47557632,50000000.0,12000000000.0,3.424149504e+18,0.002,64,0.99,1234,45777.0,2929728.0,12000165888.0,204800.0,2.874713,0.0
dense_50M_xm01_lr0.002_gbsz64_beta20.99_20B,47557632,50000000.0,20000000000.0,5.70691584e+18,0.002,64,0.99,1234,76294.0,4882816.0,20000014336.0,204800.0,2.841727,0.0
dense_50M_xm01_lr0.002_gbsz64_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.002,64,0.99,1234,114441.0,7324224.0,30000021504.0,204800.0,2.819773,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_50B,47557632,50000000.0,50000000000.0,1.42672896e+19,0.004,256,0.99,1234,47684.0,12207104.0,50000297984.0,204800.0,2.7973796666666666,0.0010465881605377
dense_50M_xm01_lr0.004_gbsz256_beta20.99_80B,47557632,50000000.0,80000000000.0,2.282766336e+19,0.004,256,0.99,1234,76294.0,19531264.0,80000057344.0,204800.0,2.780525,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_120B,47557632,50000000.0,120000000000.0,3.424149504e+19,0.004,256,0.99,1234,114441.0,29296896.0,120000086016.0,204800.0,2.767661,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_200B,47557632,50000000.0,200000000000.0,5.70691584e+19,0.004,256,0.99,1234,190735.0,48828160.0,200000143360.0,204800.0,2.75527,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_300B,47557632,50000000.0,300000000000.0,8.56037376e+19,0.004,256,0.99,1234,286103.0,73242368.0,300000739328.0,204800.0,2.746646,0.0
dense_130M_xm01_lr0.001_gbsz32_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.001,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.712857,0.0
dense_130M_xm01_lr0.0005_gbsz32_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.0005,32,0.99,1234,91553.0,2929696.0,12000034816.0,204800.0,2.649715,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.002,128,0.99,1234,38147.0,4882816.0,20000014336.0,204800.0,2.604768,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,128,0.99,1234,57221.0,7324288.0,30000283648.0,204800.0,2.573634,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.002,128,0.99,1234,95368.0,12207104.0,50000297984.0,204800.0,2.540878,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.002,128,0.99,1234,152588.0,19531264.0,80000057344.0,204800.0,2.516152,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.002,256,0.99,1234,114441.0,29296896.0,120000086016.0,204800.0,2.497453,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.002,256,0.99,1234,190735.0,48828160.0,200000143360.0,204800.0,2.477218,0.0
dense_130M_xm01_lr0.002_gbsz256_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.002,256,0.99,1234,286103.0,73242368.0,300000739328.0,204800.0,2.464666,0.0
dense_300M_xm01_lr0.0005_gbsz64_beta20.95_6B,301880320,300000000.0,6000000000.0,1.086769152e+19,0.0005,64,0.95,1234,22889.0,1464896.0,6000214016.0,204800.0,2.572256,0.0
