N,D,C,lr,gbsz,loss
47557632,6000000000.0,1.712074752e+18,0.0008734547107871994,16,2.929148135625664
47557632,6000000000.0,1.712074752e+18,0.0013729913343212773,32,2.9257661000221855
47557632,6000000000.0,1.712074752e+18,0.00251029475628094,64,2.9272381607043414
47557632,6000000000.0,1.712074752e+18,0.004387461954270283,128,2.933125775815432
47557632,12000000000.0,3.424149504e+18,0.0007720541705086922,16,2.879621133761084
47557632,12000000000.0,3.424149504e+18,0.001162226005533296,32,2.873849607326813
47557632,12000000000.0,3.424149504e+18,0.0021454211599378128,64,2.8730955700604595
47557632,12000000000.0,3.424149504e+18,0.005028629702780482,128,2.8765993389842675
47557632,12000000000.0,3.424149504e+18,0.004043705967658154,256,2.8928406670081195
47557632,20000000000.0,5.70691584e+18,0.0007416489746861728,16,2.850636980367346
47557632,20000000000.0,5.70691584e+18,0.0010251006773215321,32,2.8430665170123444
47557632,20000000000.0,5.70691584e+18,0.0018243289242370299,64,2.8408314532362224
47557632,20000000000.0,5.70691584e+18,0.003794030734601778,128,2.8434646849681307
47557632,20000000000.0,5.70691584e+18,0.005287641750598053,256,2.8513171895563305
47557632,20000000000.0,5.70691584e+18,0.005147884961982253,512,2.876657047068794
47557632,30000000000.0,8.56037376e+18,0.0007144591136803313,16,2.831756485934606
47557632,30000000000.0,8.56037376e+18,0.0009241586008869293,32,2.8226483143068135
47557632,30000000000.0,8.56037376e+18,0.0016237469769570013,64,2.8191226652782446
47557632,30000000000.0,8.56037376e+18,0.003090026150678566,128,2.8214439168568712
47557632,30000000000.0,8.56037376e+18,0.005850723845129655,256,2.824988003821567
47557632,30000000000.0,8.56037376e+18,0.0068513566532772685,512,2.8416247049858
47557632,30000000000.0,8.56037376e+18,0.004238304750809852,1024,2.887266369531547
47557632,50000000000.0,1.42672896e+19,0.0008263817465956322,32,2.801872008360775
47557632,50000000000.0,1.42672896e+19,0.001413716849595847,64,2.7974700300206417
47557632,50000000000.0,1.42672896e+19,0.0028872225452910264,128,2.797376037830447
47557632,50000000000.0,1.42672896e+19,0.009738027941436115,256,2.793891961923683
47557632,50000000000.0,1.42672896e+19,0.015805366740359907,512,2.801331651444226
47557632,50000000000.0,1.42672896e+19,0.007279027790063019,1024,2.833911081439938
47557632,80000000000.0,2.282766336e+19,0.001250914177226572,64,2.780297031493425
47557632,80000000000.0,2.282766336e+19,0.002081101220975807,128,2.7805593433078704
47557632,80000000000.0,2.282766336e+19,0.00599040134652219,256,2.779818186308628
