job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_50M_xm01_lr0.001_gbsz16_beta20.99_6B,47557632,50000000.0,6000000000.0,1.712074752e+18,0.001,16,0.99,1234,91553.0,1464848.0,6000017408.0,204800.0,2.9305737142857144,0.000959826638967
dense_50M_xm01_lr0.002_gbsz32_beta20.99_6B,47557632,50000000.0,6000000000.0,1.712074752e+18,0.002,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.9271794,0.0022124853355446
dense_50M_xm01_lr0.002_gbsz64_beta20.99_6B,47557632,50000000.0,6000000000.0,1.712074752e+18,0.002,64,0.99,1234,22889.0,1464896.0,6000214016.0,204800.0,2.9278952,0.0018698691505022
dense_50M_xm01_lr0.004_gbsz128_beta20.99_6B,47557632,50000000.0,6000000000.0,1.712074752e+18,0.004,128,0.99,1234,11445.0,1464960.0,6000476160.0,204800.0,2.9326385,0.0022342950230442
dense_50M_xm01_lr0.0005_gbsz16_beta20.99_12B,47557632,50000000.0,12000000000.0,3.424149504e+18,0.0005,16,0.99,1234,183106.0,2929696.0,12000034816.0,204800.0,2.882321,0.0
dense_50M_xm01_lr0.001_gbsz32_beta20.99_12B,47557632,50000000.0,12000000000.0,3.424149504e+18,0.001,32,0.99,1234,91553.0,2929696.0,12000034816.0,204800.0,2.874975,0.0
dense_50M_xm01_lr0.002_gbsz64_beta20.99_12B,47557632,50000000.0,12000000000.0,3.424149504e+18,0.002,64,0.99,1234,45777.0,2929728.0,12000165888.0,204800.0,2.874713,0.0
dense_50M_xm01_lr0.004_gbsz128_beta20.99_12B,47557632,50000000.0,12000000000.0,3.424149504e+18,0.004,128,0.99,1234,22889.0,2929792.0,12000428032.0,204800.0,2.87557,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_12B,47557632,50000000.0,12000000000.0,3.424149504e+18,0.004,256,0.99,1234,11445.0,2929920.0,12000952320.0,204800.0,2.891727,0.0
dense_50M_xm01_lr0.0005_gbsz16_beta20.99_20B,47557632,50000000.0,20000000000.0,5.70691584e+18,0.0005,16,0.99,1234,305176.0,4882816.0,20000014336.0,204800.0,2.852661,0.0
dense_50M_xm01_lr0.001_gbsz32_beta20.99_20B,47557632,50000000.0,20000000000.0,5.70691584e+18,0.001,32,0.99,1234,152588.0,4882816.0,20000014336.0,204800.0,2.843615,0.0
dense_50M_xm01_lr0.002_gbsz64_beta20.99_20B,47557632,50000000.0,20000000000.0,5.70691584e+18,0.002,64,0.99,1234,76294.0,4882816.0,20000014336.0,204800.0,2.841727,0.0
dense_50M_xm01_lr0.004_gbsz128_beta20.99_20B,47557632,50000000.0,20000000000.0,5.70691584e+18,0.004,128,0.99,1234,38147.0,4882816.0,20000014336.0,204800.0,2.842546,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_20B,47557632,50000000.0,20000000000.0,5.70691584e+18,0.004,256,0.99,1234,19074.0,4882944.0,20000538624.0,204800.0,2.851243,0.0
dense_50M_xm01_lr0.004_gbsz512_beta20.99_20B,47557632,50000000.0,20000000000.0,5.70691584e+18,0.004,512,0.99,1234,9537.0,4882944.0,20000538624.0,204800.0,2.876215,0.0
dense_50M_xm01_lr0.0005_gbsz16_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.0005,16,0.99,1234,457764.0,7324224.0,30000021504.0,204800.0,2.833473,0.0
dense_50M_xm01_lr0.001_gbsz32_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.001,32,0.99,1234,228882.0,7324224.0,30000021504.0,204800.0,2.822961,0.0
dense_50M_xm01_lr0.002_gbsz64_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.002,64,0.99,1234,114441.0,7324224.0,30000021504.0,204800.0,2.819773,0.0
dense_50M_xm01_lr0.004_gbsz128_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.004,128,0.99,1234,57221.0,7324288.0,30000283648.0,204800.0,2.821237,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.004,256,0.99,1234,28611.0,7324416.0,30000807936.0,204800.0,2.825555,0.0
dense_50M_xm01_lr0.004_gbsz512_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.004,512,0.99,1234,14306.0,7324672.0,30001856512.0,204800.0,2.843349,0.0
dense_50M_xm01_lr0.004_gbsz1024_beta20.99_30B,47557632,50000000.0,30000000000.0,8.56037376e+18,0.004,1024,0.99,1234,7153.0,7324672.0,30001856512.0,204800.0,2.886704,0.0
dense_50M_xm01_lr0.001_gbsz32_beta20.99_50B,47557632,50000000.0,50000000000.0,1.42672896e+19,0.001,32,0.99,1234,381470.0,12207040.0,50000035840.0,204800.0,2.802204,0.0
dense_50M_xm01_lr0.002_gbsz64_beta20.99_50B,47557632,50000000.0,50000000000.0,1.42672896e+19,0.002,64,0.99,1234,190735.0,12207040.0,50000035840.0,204800.0,2.7977425,5.8500000000183405e-05
dense_50M_xm01_lr0.004_gbsz128_beta20.99_50B,47557632,50000000.0,50000000000.0,1.42672896e+19,0.004,128,0.99,1234,95368.0,12207104.0,50000297984.0,204800.0,2.79748,0.0022360000000001
dense_50M_xm01_lr0.004_gbsz256_beta20.99_50B,47557632,50000000.0,50000000000.0,1.42672896e+19,0.004,256,0.99,1234,47684.0,12207104.0,50000297984.0,204800.0,2.7973796666666666,0.0010465881605377
dense_50M_xm01_lr0.004_gbsz512_beta20.99_50B,47557632,50000000.0,50000000000.0,1.42672896e+19,0.004,512,0.99,1234,23842.0,12207104.0,50000297984.0,204800.0,2.810457,0.0
dense_50M_xm01_lr0.004_gbsz1024_beta20.99_50B,47557632,50000000.0,50000000000.0,1.42672896e+19,0.004,1024,0.99,1234,11921.0,12207104.0,50000297984.0,204800.0,2.837077,0.0
dense_50M_xm01_lr0.001_gbsz64_beta20.99_80B,47557632,50000000.0,80000000000.0,2.282766336e+19,0.001,64,0.99,1234,305176.0,19531264.0,80000057344.0,204800.0,2.78125,0.0
dense_50M_xm01_lr0.002_gbsz128_beta20.99_80B,47557632,50000000.0,80000000000.0,2.282766336e+19,0.002,128,0.99,1234,152588.0,19531264.0,80000057344.0,204800.0,2.781513,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_80B,47557632,50000000.0,80000000000.0,2.282766336e+19,0.004,256,0.99,1234,76294.0,19531264.0,80000057344.0,204800.0,2.780525,0.0
dense_50M_xm01_lr0.004_gbsz512_beta20.99_80B,47557632,50000000.0,80000000000.0,2.282766336e+19,0.004,512,0.99,1234,38147.0,19531264.0,80000057344.0,204800.0,2.787641,0.0
dense_50M_xm01_lr0.004_gbsz1024_beta20.99_80B,47557632,50000000.0,80000000000.0,2.282766336e+19,0.004,1024,0.99,1234,19074.0,19531776.0,80002154496.0,204800.0,2.807573,0.0
dense_50M_xm01_lr0.001_gbsz64_beta20.99_120B,47557632,50000000.0,120000000000.0,3.424149504e+19,0.001,64,0.99,1234,457764.0,29296896.0,120000086016.0,204800.0,2.769212,0.0
dense_50M_xm01_lr0.002_gbsz128_beta20.99_120B,47557632,50000000.0,120000000000.0,3.424149504e+19,0.002,128,0.99,1234,228882.0,29296896.0,120000086016.0,204800.0,2.768867,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_120B,47557632,50000000.0,120000000000.0,3.424149504e+19,0.004,256,0.99,1234,114441.0,29296896.0,120000086016.0,204800.0,2.767661,0.0
dense_50M_xm01_lr0.004_gbsz512_beta20.99_120B,47557632,50000000.0,120000000000.0,3.424149504e+19,0.004,512,0.99,1234,57221.0,29297152.0,120001134592.0,204800.0,2.772208,0.0
dense_50M_xm01_lr0.004_gbsz1024_beta20.99_120B,47557632,50000000.0,120000000000.0,3.424149504e+19,0.004,1024,0.99,1234,28611.0,29297664.0,120003231744.0,204800.0,2.787165,0.0
dense_50M_xm01_lr0.001_gbsz64_beta20.99_200B,47557632,50000000.0,200000000000.0,5.70691584e+19,0.001,64,0.99,1234,762940.0,48828160.0,200000143360.0,204800.0,2.756893,0.0
dense_50M_xm01_lr0.002_gbsz128_beta20.99_200B,47557632,50000000.0,200000000000.0,5.70691584e+19,0.002,128,0.99,1234,381470.0,48828160.0,200000143360.0,204800.0,2.755713,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_200B,47557632,50000000.0,200000000000.0,5.70691584e+19,0.004,256,0.99,1234,190735.0,48828160.0,200000143360.0,204800.0,2.75527,0.0
dense_50M_xm01_lr0.004_gbsz512_beta20.99_200B,47557632,50000000.0,200000000000.0,5.70691584e+19,0.004,512,0.99,1234,95368.0,48828416.0,200001191936.0,204800.0,2.756524,0.0
dense_50M_xm01_lr0.004_gbsz1024_beta20.99_200B,47557632,50000000.0,200000000000.0,5.70691584e+19,0.004,1024,0.99,1234,47684.0,48828416.0,200001191936.0,204800.0,2.767171,0.0
dense_50M_xm01_lr0.002_gbsz64_beta20.99_300B,47557632,50000000.0,300000000000.0,8.56037376e+19,0.002,64,0.99,1234,1144410.0,73242240.0,300000215040.0,204800.0,2.753782,0.0
dense_50M_xm01_lr0.001_gbsz128_beta20.99_300B,47557632,50000000.0,300000000000.0,8.56037376e+19,0.001,128,0.99,1234,572205.0,73242240.0,300000215040.0,204800.0,2.747283,0.0
dense_50M_xm01_lr0.004_gbsz256_beta20.99_300B,47557632,50000000.0,300000000000.0,8.56037376e+19,0.004,256,0.99,1234,286103.0,73242368.0,300000739328.0,204800.0,2.746646,0.0
dense_50M_xm01_lr0.004_gbsz512_beta20.99_300B,47557632,50000000.0,300000000000.0,8.56037376e+19,0.004,512,0.99,1234,143052.0,73242624.0,300001787904.0,204800.0,2.747044,0.0
dense_50M_xm01_lr0.004_gbsz1024_beta20.99_300B,47557632,50000000.0,300000000000.0,8.56037376e+19,0.004,1024,0.99,1234,71526.0,73242624.0,300001787904.0,204800.0,2.754901,0.0
dense_130M_xm01_lr0.0005_gbsz16_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.0005,16,0.99,1234,91553.0,1464848.0,6000017408.0,204800.0,2.716708,0.0
dense_130M_xm01_lr0.001_gbsz32_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.001,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.712857,0.0
dense_130M_xm01_lr0.002_gbsz64_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.002,64,0.99,1234,22889.0,1464896.0,6000214016.0,204800.0,2.717376,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.002,128,0.99,1234,11445.0,1464960.0,6000476160.0,204800.0,2.729605,0.0
dense_130M_xm01_lr0.0005_gbsz16_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.0005,16,0.99,1234,183106.0,2929696.0,12000034816.0,204800.0,2.654031,0.0
dense_130M_xm01_lr0.0005_gbsz32_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.0005,32,0.99,1234,91553.0,2929696.0,12000034816.0,204800.0,2.649715,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.001,64,0.99,1234,45777.0,2929728.0,12000165888.0,204800.0,2.650966,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.002,128,0.99,1234,22889.0,2929792.0,12000428032.0,204800.0,2.651203,0.0
dense_130M_xm01_lr0.004_gbsz256_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.004,256,0.99,1234,11445.0,2929920.0,12000952320.0,204800.0,2.666396,0.0
dense_130M_xm01_lr0.0005_gbsz32_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.0005,32,0.99,1234,152588.0,4882816.0,20000014336.0,204800.0,2.608215,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.001,64,0.99,1234,76294.0,4882816.0,20000014336.0,204800.0,2.606964,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.002,128,0.99,1234,38147.0,4882816.0,20000014336.0,204800.0,2.604768,0.0
dense_130M_xm01_lr0.004_gbsz256_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.004,256,0.99,1234,19074.0,4882944.0,20000538624.0,204800.0,2.611825,0.0
dense_130M_xm01_lr0.004_gbsz512_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.004,512,0.99,1234,9537.0,4882944.0,20000538624.0,204800.0,2.639462,0.0
dense_130M_xm01_lr0.0005_gbsz32_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.0005,32,0.99,1234,228882.0,7324224.0,30000021504.0,204800.0,2.579421,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.001,64,0.99,1234,114441.0,7324224.0,30000021504.0,204800.0,2.576124,0.0
dense_130M_xm01_lr0.002_gbsz128_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.002,128,0.99,1234,57221.0,7324288.0,30000283648.0,204800.0,2.573634,0.0
