model_path,size,data,lr,gbsz,beta2,seed,schedule,tokens_B,iter,benchmark,task,n_shot,metric,score
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,arc_challenge,10,acc_norm,0.22696
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,arc_easy,10,acc_norm,0.42003
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.352
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0978
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,boolq,10,acc,0.46575
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,commonsense_qa,10,acc,0.1982
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,copa,0,acc,0.61
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,coqa,0,f1,0.15103
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,hellaswag,10,acc_norm,0.30412
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,hellaswag,0,acc_norm,0.30243
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,jeopardy,10,exact_match,0.0018895
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,lambada_openai,0,acc,0.32622
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,openbookqa,0,acc_norm,0.268
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,piqa,10,acc_norm,0.6235
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,winogrande,0,acc,0.5146
EleutherAI/pythia-160m,,EleutherAI/pythia-160m,,,,,,,,other,wsc273,0,acc,0.57509
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,arc_challenge,10,acc_norm,0.26792
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,arc_easy,10,acc_norm,0.55471
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.364
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0969
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,boolq,10,acc,0.48807
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,commonsense_qa,10,acc,0.19492
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,copa,0,acc,0.68
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,coqa,0,f1,0.37077
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,hellaswag,0,acc_norm,0.40629
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,hellaswag,10,acc_norm,0.40938
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,jeopardy,10,exact_match,0.010864
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,lambada_openai,0,acc,0.51446
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,openbookqa,0,acc_norm,0.294
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,piqa,10,acc_norm,0.68281
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,winogrande,0,acc,0.53591
EleutherAI/pythia-410m,,EleutherAI/pythia-410m,,,,,,,,other,wsc273,0,acc,0.65568
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,agieval_lsat_ar,3,acc,0.20435
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,arc_challenge,10,acc_norm,0.21246
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,arc_easy,10,acc_norm,0.3548
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.207
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0896
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,boolq,10,acc,0.49541
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,commonsense_qa,10,acc,0.19328
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,copa,0,acc,0.59
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,coqa,0,f1,0.046207
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,hellaswag,0,acc_norm,0.27664
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,hellaswag,10,acc_norm,0.27265
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,jeopardy,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,lambada_openai,0,acc,0.18552
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,openbookqa,0,acc_norm,0.252
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,piqa,10,acc_norm,0.58161
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,squadv2,10,f1,1.0997
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,winogrande,0,acc,0.52328
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,wsc273,0,acc,0.48718
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,agieval_lsat_ar,3,acc,0.23043
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,arc_challenge,10,acc_norm,0.33276
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,arc_easy,10,acc_norm,0.66288
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.267
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0869
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
