job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_130M_xm01_lr0.00025_gbsz16_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.00025,16,0.99,1234,183106.0,2929696.0,12000034816.0,204800.0,2.656725,0.0
dense_130M_xm01_lr0.00025_gbsz16_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.00025,16,0.99,1234,91553.0,1464848.0,6000017408.0,204800.0,2.721845,0.0
dense_130M_xm01_lr0.00025_gbsz32_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.00025,32,0.99,1234,91553.0,2929696.0,12000034816.0,204800.0,2.656892,0.0
dense_130M_xm01_lr0.00025_gbsz32_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.00025,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.729814,0.0
dense_130M_xm01_lr0.0005_gbsz1024_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.0005,1024,0.99,1234,28611.0,29297664.0,120003231744.0,204800.0,2.55656,0.0
dense_130M_xm01_lr0.0005_gbsz1024_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.0005,1024,0.99,1234,47684.0,48828416.0,200001191936.0,204800.0,2.525446,0.0
dense_130M_xm01_lr0.0005_gbsz1024_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.0005,1024,0.99,1234,71526.0,73242624.0,300001787904.0,204800.0,2.505355,0.0
dense_130M_xm01_lr0.0005_gbsz1024_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.0005,1024,0.99,1234,7153.0,7324672.0,30001856512.0,204800.0,2.712914,0.0
dense_130M_xm01_lr0.0005_gbsz1024_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.0005,1024,0.99,1234,11921.0,12207104.0,50000297984.0,204800.0,2.636763,0.0
dense_130M_xm01_lr0.0005_gbsz1024_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.0005,1024,0.99,1234,19074.0,19531776.0,80002154496.0,204800.0,2.588138,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.0005,128,0.99,1234,228882.0,29296896.0,120000086016.0,204800.0,2.505396,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.0005,128,0.99,1234,22889.0,2929792.0,12000428032.0,204800.0,2.670078,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.0005,128,0.99,1234,381470.0,48828160.0,200000143360.0,204800.0,2.48402,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.0005,128,0.99,1234,38147.0,4882816.0,20000014336.0,204800.0,2.621601,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.0005,128,0.99,1234,572205.0,73242240.0,300000215040.0,204800.0,2.470057,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.0005,128,0.99,1234,57221.0,7324288.0,30000283648.0,204800.0,2.589072,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.0005,128,0.99,1234,95368.0,12207104.0,50000297984.0,204800.0,2.5535,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.0005,128,0.99,1234,11445.0,1464960.0,6000476160.0,204800.0,2.757588,0.0
dense_130M_xm01_lr0.0005_gbsz128_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.0005,128,0.99,1234,152588.0,19531264.0,80000057344.0,204800.0,2.525927,0.0
dense_130M_xm01_lr0.0005_gbsz16_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.0005,16,0.99,1234,183106.0,2929696.0,12000034816.0,204800.0,2.654031,0.0
dense_130M_xm01_lr0.0005_gbsz16_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.0005,16,0.99,1234,91553.0,1464848.0,6000017408.0,204800.0,2.716708,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.0005,256,0.99,1234,114441.0,29296896.0,120000086016.0,204800.0,2.513885,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.0005,256,0.99,1234,11445.0,2929920.0,12000952320.0,204800.0,2.703264,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.0005,256,0.99,1234,190735.0,48828160.0,200000143360.0,204800.0,2.490451,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.0005,256,0.99,1234,19074.0,4882944.0,20000538624.0,204800.0,2.643294,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.0005,256,0.99,1234,286103.0,73242368.0,300000739328.0,204800.0,2.475114,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.0005,256,0.99,1234,28611.0,7324416.0,30000807936.0,204800.0,2.605582,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.0005,256,0.99,1234,47684.0,12207104.0,50000297984.0,204800.0,2.566053,0.0
dense_130M_xm01_lr0.0005_gbsz256_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.0005,256,0.99,1234,76294.0,19531264.0,80000057344.0,204800.0,2.53595,0.0
